x,y,z,cluster
0.853769,-0.162676,-3.43118,2
0.481213,0.163799,-3.74208,2
0.682272,-0.882709,-3.2875,2
-0.451705,-0.284335,-3.67505,2
-0.715242,-1.24932,-3.38584,2
0.317224,-0.449955,-3.1433,2
-1.02249,-1.62955,-3.44716,2
-1.01014,0.207672,-3.6955,2
-0.2939,0.61774,-3.30019,2
-0.445243,-0.726659,-3.37928,2
-0.231959,-1.1563,-3.42641,2
-0.118773,0.559949,-3.49277,2
-0.27893,-0.431392,-3.5058,2
-0.576456,-0.13238,-3.25334,2
-0.826467,-0.000427018,-3.64788,2
-0.298006,-0.200316,-3.27186,2
0.930819,-0.530459,-3.33627,2
-0.64613,-1.15623,-3.3655,2
0.739153,-0.599297,-3.45292,2
-0.383214,0.020148,-3.1423,2
-1.32989,-0.487273,-3.41204,2
-0.603887,-0.440048,-3.52881,2
0.430241,0.685061,-3.11886,2
-0.312841,0.568887,-3.61593,2
-0.259204,-0.977753,-3.3666,2
-0.363697,-1.65147,-3.17308,2
-0.524018,-0.805552,-3.14015,2
0.459774,-0.0907754,-3.52031,2
-0.0304368,-1.36673,-3.23297,2
-0.384241,0.0572632,-3.69971,2
-1.19241,-0.0494674,-3.15038,2
0.34382,-0.990974,-3.25869,2
-0.588656,-0.124374,-3.43385,2
0.133816,1.16336,-3.60126,2
-0.500268,-0.807312,-3.46246,2
-0.479433,-1.38398,-3.15296,2
-0.0738285,-1.21672,-3.4089,2
-1.16889,-0.0558332,-3.57603,2
-0.140346,0.578592,-3.74475,2
0.590604,-0.163738,-3.31101,2
0.884688,-0.47695,-3.29469,2
-0.370569,-0.327285,-3.0471,2
0.290499,0.936706,-3.64451,2
-1.34954,0.401257,-3.49253,2
-0.892048,-0.967815,-3.27701,2
0.540453,0.534291,-3.47822,2
-0.791129,-0.257259,-3.35924,2
-1.36274,-0.290555,-2.97692,2
-0.695154,0.680033,-3.46014,2
0.158818,0.139444,-3.9223,2
-0.430825,0.230854,-3.7089,2
-0.930333,0.514218,-2.83879,2
0.186504,-0.161681,-3.83129,2
0.113433,0.536563,-3.42185,2
0.100221,0.0884969,-3.36077,2
-0.597034,0.477897,-3.26816,2
-0.662986,-0.28337,-3.23027,2
-0.708574,-0.884134,-3.3617,2
-0.525016,-0.496366,-3.39213,2
0.0436667,-0.0341239,-3.465,2
-0.212498,0.027647,-3.60288,2
-1.4092,-0.195552,-3.22771,2
-0.380626,-0.627667,-3.35059,2
-0.508558,0.817231,-3.56149,2
0.769826,-0.556406,-3.28046,2
-0.339439,-1.55895,-3.42807,2
-0.550631,-0.591077,-3.43436,2
-1.03867,0.115407,-3.49129,2
-0.56504,0.260438,-3.89252,2
0.222039,0.183426,-3.26297,2
0.891741,-0.238113,-3.6097,2
-1.1645,-0.0657796,-3.52775,2
-1.07168,-0.258129,-3.13735,2
-1.10954,0.132885,-3.6527,2
-0.517579,0.355216,-3.30385,2
0.513175,-0.897748,-3.49677,2
0.130949,-0.0385672,-3.63908,2
-0.370407,0.912404,-3.22229,2
-0.195114,-0.969437,-3.24316,2
0.51331,-0.0983456,-3.35757,2
-0.971997,-0.509933,-3.52173,2
0.138734,0.683057,-3.72309,2
-0.0470962,-0.918792,-3.67626,2
-0.315291,0.0714138,-3.60016,2
0.59531,-0.938563,-3.28428,2
-1.2389,-0.046294,-3.41789,2
-0.625445,-0.126565,-3.43859,2
-0.0865641,-1.33193,-3.17505,2
0.304756,-0.247334,-3.3886,2
0.231137,0.609742,-3.56201,2
-0.897575,-0.897105,-3.73362,2
1.65839,-0.142938,-3.2179,2
-0.888174,-1.40482,-3.24012,2
0.963354,-0.326668,-3.27136,2
-0.0682465,-0.555972,-3.19317,2
-0.133355,1.0673,-3.48974,2
0.477124,-0.892775,-3.40677,2
-0.284633,-1.15313,-3.14707,2
-0.301383,-0.0318834,-3.19122,2
-1.09734,-0.0497405,-3.12066,2
0.221293,-0.278028,-3.31177,2
-0.356724,0.463753,-3.55269,2
-0.497908,-1.02512,-3.5337,2
0.355501,-0.910413,-3.5976,2
-1.03183,0.0312585,-3.50354,2
-0.515051,-0.858148,-3.23379,2
-1.44135,-0.00745239,-3.04375,2
-1.01403,-0.335243,-3.63038,2
-0.428935,0.378383,-3.52642,2
0.344846,-1.05344,-3.1818,2
-0.276886,-1.09123,-3.24215,2
0.776889,-0.403119,-3.45805,2
-0.380881,0.517458,-3.19221,2
0.427308,-0.888496,-3.43123,2
-1.41808,0.0835177,-3.77705,2
0.181471,-0.621002,-3.32007,2
-0.447337,-1.5889,-3.10718,2
0.280895,-0.780183,-3.31337,2
0.380393,-0.346881,-3.26237,2
-0.0856469,-1.13566,-3.2411,2
-0.359582,-1.09121,-3.05398,2
-0.408353,-0.548736,-3.41002,2
0.0112996,-0.0363608,-3.25887,2
-0.286265,-1.34965,-3.53965,2
0.062004,-0.435725,-3.52521,2
-0.827205,-0.429412,-3.30016,2
-0.350296,0.00567434,-3.31149,2
-0.42136,0.0892351,-3.15675,2
-0.484966,0.675798,-3.35522,2
-0.880348,-0.0133369,-3.58399,2
-0.783865,-1.15079,-3.15822,2
-0.588936,0.502668,-3.34428,2
-0.463875,-0.71175,-3.11493,2
0.664342,-0.38471,-3.68821,2
1.03297,-0.281888,-3.24966,2
-0.141807,0.361101,-3.26204,2
-0.218523,0.797951,-3.57469,2
-0.222067,-1.36072,-3.11761,2
-0.918105,0.170517,-3.42849,2
0.188337,0.685394,-3.63575,2
-0.265261,0.0188067,-3.58817,2
-1.05191,-0.423483,-3.08849,2
-1.08813,-0.901896,-3.14257,2
0.00695429,1.15599,-3.48912,2
0.223374,0.575593,-3.77668,2
-0.562355,-1.29786,-3.36771,2
0.451453,-1.05622,-3.72242,2
-0.433904,-0.559599,-3.03553,2
0.939059,-0.581389,-3.499,2
0.39347,-0.532818,-3.65482,2
-0.320067,-0.947125,-3.3265,2
-0.513473,-0.872606,-3.4309,2
-0.788709,-0.175053,-3.43723,2
0.933124,-0.818568,-3.66336,2
-0.318273,-1.94394,-3.4872,2
0.543289,-0.0938733,-3.55655,2
-1.14944,-0.622648,-3.22846,2
0.19624,-0.180316,-3.60035,2
-1.42028,-0.448357,-2.90354,2
0.235337,0.989593,-3.60321,2
-0.524872,-0.693673,-3.27307,2
-0.234725,0.147206,-3.62997,2
0.909704,-0.699506,-3.47093,2
-0.274287,-0.907981,-3.2113,2
0.0835157,0.822008,-3.17913,2
-0.997015,-0.405582,-3.38711,2
-0.465332,-1.08442,-3.39904,2
-0.748654,-0.142756,-3.58093,2
-0.401505,-1.02096,-3.15035,2
-0.196984,0.541333,-3.53318,2
-0.550505,0.0749631,-3.25084,2
0.108616,0.038026,-3.44503,2
-0.652844,-1.58861,-3.20399,2
0.433064,-0.487185,-3.65845,2
0.0390918,-1.23643,-3.3741,2
-0.8312,-0.220903,-3.17829,2
-0.928433,0.570605,-3.33088,2
0.869049,0.824902,0.750577,3
1.10962,1.08357,0.702127,3
0.373442,0.480342,1.74924,3
0.647655,0.433407,2.03481,3
0.774423,0.0945971,1.1898,3
0.713591,0.57591,1.33587,3
1.67806,0.450127,0.648407,3
1.41545,0.545335,1.24196,3
0.707863,-0.403901,1.88956,3
0.918426,0.056197,1.29847,3
1.43109,-0.219726,1.48864,3
1.8228,0.388873,0.828523,3
1.19821,1.42511,1.2695,3
0.335464,1.23953,1.08292,3
2.0025,0.485421,0.420019,3
1.35742,0.142731,1.3644,3
0.704296,0.0599448,1.16914,3
0.667904,1.57705,0.914495,3
0.409489,0.620992,1.33739,3
1.22044,0.433736,0.802352,3
-0.308676,0.850132,1.86204,3
1.19003,0.416127,0.608142,3
0.908266,0.615437,1.70412,3
0.212971,0.949469,1.50145,3
1.29149,0.669898,1.1618,3
1.12417,0.502911,1.47651,3
1.3823,-0.326022,1.04356,3
0.329888,0.616719,1.4445,3
0.670238,1.1439,1.05005,3
1.06354,0.984447,1.1159,3
0.524288,-0.587519,1.73687,3
0.885972,0.973799,1.30298,3
1.37331,0.27089,1.08825,3
0.755356,2.05829,0.475312,3
0.960584,0.371424,0.81819,3
0.13458,0.25799,1.62974,3
0.825396,1.04677,1.04193,3
0.419088,1.57867,1.40005,3
1.43693,-0.108631,1.05463,3
0.631311,1.86041,0.706896,3
0.295099,0.474407,1.43516,3
0.924105,-0.0920699,0.833642,3
1.65317,0.370911,0.570329,3
1.58628,0.791298,0.750559,3
0.331792,1.19315,1.1256,3
1.27241,-0.128943,1.64019,3
0.595804,1.22035,1.02467,3
0.15098,0.960532,2.10164,3
0.640616,-0.0785556,1.52445,3
0.657521,1.57057,0.766229,3
0.232437,0.629569,2.00804,3
1.31863,0.0981395,1.2172,3
0.832911,-0.192369,1.75253,3
-0.00782565,1.12442,1.82559,3
0.740243,1.86013,0.468871,3
0.689669,-0.00238016,1.70153,3
0.759742,1.20942,1.10188,3
0.400333,-0.0135858,1.87844,3
0.690241,1.28658,0.759291,3
1.92713,0.610682,0.531856,3
0.491229,1.76167,0.537748,3
1.14515,-0.342252,1.56786,3
0.586799,1.24203,1.54446,3
1.01482,0.729675,1.67616,3
1.36131,0.759872,0.855017,3
1.50874,0.0618447,1.09576,3
1.04076,1.4274,0.924622,3
-0.0455293,0.689836,1.42751,3
0.685468,0.0994238,1.88861,3
1.11939,0.375511,0.889414,3
1.51206,0.547018,0.959602,3
0.830616,-0.169768,1.55366,3
0.515196,1.32989,0.890327,3
1.36635,0.868118,0.487961,3
1.01669,-0.0462107,1.64561,3
0.342138,0.0168462,1.91513,3
0.82965,0.837949,1.33799,3
0.246483,1.33449,1.15501,3
2.01707,0.516228,0.863608,3
0.390553,0.720928,1.20994,3
0.94052,-0.320004,1.612,3
0.848973,0.648753,1.24475,3
0.435464,1.57485,1.32616,3
1.76898,0.495192,1.0572,3
0.312229,1.00775,1.41616,3
1.9093,1.04364,0.652483,3
0.544099,0.198541,1.8444,3
1.28818,0.227174,0.976156,3
0.438764,0.337972,1.4164,3
0.83939,0.294158,1.82672,3
-0.102112,1.17989,1.49685,3
0.495545,0.937618,1.30767,3
1.62954,0.31109,0.970115,3
1.16835,0.634903,1.14894,3
0.284665,0.920828,1.66059,3
0.0428496,0.567253,1.98357,3
0.733867,0.0556434,1.84674,3
1.61557,0.135811,1.26155,3
0.616131,0.179116,1.16304,3
1.15149,0.275849,1.28988,3
1.49285,0.0908556,1.47769,3
1.16217,1.21345,0.837975,3
0.848977,1.56747,1.2687,3
0.806331,0.851474,1.00662,3
0.169057,0.967716,1.35042,3
1.19635,0.00237193,1.32392,3
1.0259,0.0268674,1.34747,3
0.3286,1.65271,1.02498,3
1.73508,0.704167,0.96121,3
0.708889,1.07605,1.5357,3
1.71136,0.26156,0.806749,3
0.241569,1.32475,1.34045,3
0.997632,1.24126,0.722846,3
0.298404,0.950852,1.77325,3
0.704793,1.72968,0.755794,3
1.23787,0.854602,1.32483,3
1.57795,0.211133,1.17476,3
0.991719,0.702693,1.06309,3
0.97909,-0.363853,1.30704,3
0.0142785,1.30798,1.939,3
0.497007,0.464005,1.44712,3
1.45982,0.81311,0.637346,3
1.66476,-0.257041,0.567016,3
1.59712,0.56948,0.908286,3
1.15783,-0.369588,1.35372,3
1.77536,0.126032,0.696161,3
-0.0153476,0.864997,1.80374,3
1.481,0.272692,1.0415,3
1.20339,0.451846,0.778538,3
0.469459,0.941224,1.75414,3
1.7514,0.24846,1.12508,3
0.992761,1.8248,0.547921,3
0.627189,1.65526,1.00836,3
1.26512,1.8427,0.775524,3
0.0784533,0.883151,1.63695,3
1.04253,1.25054,0.579822,3
0.496784,0.238542,1.58839,3
0.623153,0.222975,1.54758,3
0.389522,-0.355299,1.26256,3
1.60062,0.15152,1.09774,3
0.403853,0.511243,1.35326,3
0.160542,1.10048,1.33704,3
1.04067,0.0849208,1.53309,3
1.1523,1.80691,0.860747,3
1.01672,0.514163,1.6256,3
0.295523,1.10702,1.20614,3
0.30551,0.119545,1.65367,3
1.32497,0.777466,0.621268,3
0.59448,0.210538,1.59583,3
1.33774,-0.514432,1.75854,3
0.302044,0.573032,1.66454,3
0.919705,0.170824,1.76604,3
1.07565,0.442083,1.41067,3
0.881194,0.509717,1.25594,3
0.850403,0.215714,1.55155,3
0.664863,0.103018,1.51438,3
1.14568,1.28525,1.02703,3
0.527486,1.50364,1.04063,3
0.917528,0.175204,1.24967,3
0.138659,0.658393,1.27715,3
0.922009,-0.0615212,1.39549,3
0.740744,0.0236081,1.73587,3
1.72268,0.612234,0.622242,3
0.379899,1.06139,1.85426,3
1.54756,-0.237944,0.83664,3
0.207839,1.29217,1.27506,3
1.71981,0.270009,0.711349,3
0.535181,1.47933,0.901659,3
1.37757,0.239321,0.936566,3
1.18791,0.704556,1.41847,3
0.668227,0.977824,1.60112,3
0.490494,1.26045,0.959256,3
0.623265,0.825035,1.40299,3
0.671375,1.74643,0.675476,3
0.920965,1.48905,1.06138,3
1.54006,0.442912,0.689428,3
1.3205,0.753531,0.457622,3
0.78176,1.27223,0.996834,3
0.82505,0.26763,1.27371,3
1.14377,-0.585957,1.65701,3
1.95827,0.432501,0.578586,3
0.918078,-0.0491806,1.7641,3
0.395262,0.497628,1.9253,3
0.866292,1.80996,0.753441,3
-0.0909039,1.33316,1.14221,3
0.238384,1.13677,1.51197,3
0.681228,1.2091,1.15102,3
-0.14886,0.509813,1.84978,3
0.886118,0.299668,0.988825,3
0.845573,0.421448,1.06057,3
1.27378,1.44268,1.10071,3
0.827566,0.511036,1.82778,3
1.05137,0.586614,0.703561,3
1.36317,0.663987,0.876966,3
0.561814,1.40251,1.44591,3
1.30083,-0.0461158,1.08804,3
0.908369,-0.140634,1.37334,3
-0.0589323,0.761182,1.79887,3
1.39909,0.637491,0.902126,3
1.71035,-0.0966127,1.34193,3
-2.81288,-3.94301,-3.09699,4
-2.42779,-3.71844,-3.29883,4
-2.59018,-4.00093,-3.1314,4
-2.29769,-4.40623,-2.99237,4
-2.31064,-4.02471,-2.89194,4
-3.10935,-3.46763,-2.94082,4
-3.39904,-3.20141,-3.26423,4
-2.4896,-3.81424,-2.95216,4
-2.8056,-3.38661,-3.32842,4
-2.89242,-3.40512,-2.88736,4
-2.6051,-4.42377,-3.34601,4
-2.94098,-3.40132,-3.34126,4
-3.20193,-3.18102,-3.43343,4
-2.18235,-4.20487,-3.06725,4
-2.56928,-3.64426,-3.27816,4
-2.35222,-4.33486,-3.39099,4
-3.30198,-3.53108,-3.29333,4
-3.18529,-3.13721,-3.8733,4
-2.61817,-4.33429,-2.66357,4
-2.39427,-3.95364,-3.03184,4
-2.88038,-4.06883,-2.79968,4
-2.19196,-4.16335,-2.88001,4
-2.44523,-4.19392,-2.51339,4
-3.19847,-2.85842,-3.48528,4
-3.58211,-3.06446,-3.22057,4
-2.38221,-3.80883,-3.28959,4
-3.20894,-3.27093,-3.06998,4
-2.19994,-4.23787,-2.86789,4
-2.68913,-3.62279,-2.74422,4
-2.25994,-4.51586,-3.01198,4
-2.6208,-3.62301,-3.10021,4
-3.37749,-3.1988,-3.56219,4
-2.77646,-3.78942,-3.00698,4
-2.37143,-4.18247,-3.10883,4
-3.58965,-3.01035,-3.57719,4
-2.95918,-3.35789,-3.23762,4
-2.86537,-3.67476,-3.34285,4
-2.35294,-4.08255,-3.16232,4
-3.21998,-3.04723,-3.52296,4
-2.82388,-3.72911,-2.98796,4
-3.21742,-3.08167,-3.11295,4
-3.14527,-3.16578,-3.39677,4
-3.59686,-3.23988,-3.09634,4
-3.07614,-4.09939,-3.02858,4
-3.53749,-3.38156,-3.42997,4
-3.40539,-3.13429,-2.97821,4
-2.63641,-3.94138,-3.18039,4
-1.87347,-4.42161,-2.80367,4
-2.20606,-4.39174,-3.27042,4
-2.17998,-4.11587,-2.7378,4
-1.99598,-4.23381,-2.81187,4
-2.80752,-3.56719,-3.19232,4
-2.30082,-3.74121,-3.24701,4
-2.35354,-4.28971,-3.3511,4
-3.40939,-3.01823,-2.85575,4
-2.75202,-3.87181,-3.10242,4
-2.68779,-3.53519,-3.10627,4
-2.47089,-3.96061,-3.04455,4
-3.53763,-3.07573,-3.23028,4
-2.52206,-3.59262,-2.67103,4
-2.72531,-4.37111,-3.11195,4
-2.69351,-3.37553,-3.35713,4
-2.46733,-4.51407,-2.87286,4
-3.44164,-3.40726,-3.3685,4
-3.27475,-3.51152,-3.2749,4
-2.70307,-3.57088,-2.83561,4
-2.89561,-3.74859,-3.00747,4
-3.23572,-3.55783,-3.33993,4
-2.41536,-4.26951,-2.96761,4
-3.16885,-2.81025,-3.29853,4
-2.87366,-3.87847,-2.93471,4
-3.0598,-3.63472,-3.3987,4
-1.99654,-3.85868,-2.97852,4
-3.02411,-3.67443,-3.18434,4
-2.87451,-3.80721,-3.16418,4
-2.45029,-4.00081,-2.94956,4
-2.60495,-3.67272,-2.93471,4
-2.81306,-3.48333,-3.41179,4
-3.12302,-3.73364,-3.35043,4
-3.4268,-3.32693,-3.20118,4
-3.26463,-3.02728,-3.74661,4
-2.07357,-4.34939,-2.61321,4
-3.05604,-3.00941,-3.1171,4
-2.16037,-4.31365,-3.03134,4
-2.17421,-3.71568,-2.67637,4
-2.79368,-3.69713,-3.1926,4
-2.34658,-4.03935,-3.01307,4
-3.08608,-3.12948,-3.24649,4
-2.98852,-3.04947,-3.5122,4
-2.6996,-3.66037,-3.2695,4
-3.23763,-3.24771,-3.10939,4
-2.5485,-3.72868,-2.89633,4
-2.39175,-4.27677,-2.88068,4
-2.50278,-3.97383,-2.88003,4
-3.36182,-3.25798,-3.40285,4
-2.19677,-4.56762,-2.76976,4
-2.2108,-3.99157,-2.93006,4
-2.86929,-3.64555,-3.42628,4
-3.02089,-3.44874,-3.03953,4
-2.44506,-4.52789,-3.18547,4
-3.02426,-3.80961,-3.48871,4
-2.23291,-4.22465,-3.08931,4
-3.4101,-3.43092,-3.45056,4
-2.94322,-3.67327,-3.19399,4
-3.39013,-2.90238,-3.01803,4
-2.31531,-4.51761,-3.33027,4
-2.63431,-3.88317,-3.00527,4
-3.2172,-3.73689,-3.18011,4
-3.42162,-3.54386,-2.94605,4
-3.23363,-3.3205,-3.59972,4
-3.37749,-2.91533,-3.27003,4
-2.2275,-4.03303,-3.43425,4
-2.89406,-3.80914,-2.83539,4
-3.0916,-3.79952,-3.61795,4
-2.99086,-3.71646,-3.24934,4
-3.43665,-3.71475,-3.13462,4
-2.78916,-4.17445,-2.89037,4
-2.24007,-4.3945,-2.77843,4
-2.80254,-4.13419,-3.49916,4
-3.39164,-3.32337,-3.69102,4
-2.38839,-3.6432,-3.31326,4
-2.89347,-3.76993,-3.31776,4
-2.031,-4.01174,-3.12265,4
-3.32955,-3.37278,-3.38152,4
-2.75146,-3.82401,-3.21733,4
-2.05438,-4.38435,-3.0666,4
-2.91115,-3.4346,-3.18437,4
-1.93806,-4.14081,-3.13605,4
-2.88002,-3.53839,-3.17549,4
-2.30289,-4.08145,-2.96793,4
-2.62852,-4.2383,-3.15323,4
-2.31813,-4.59994,-2.75686,4
-2.6803,-3.94094,-3.01315,4
-2.27004,-4.01314,-2.88341,4
-2.98235,-3.20189,-2.97097,4
